"Player ID","Player","Team","Position",TARGETS,RECEPTIONS,RECEIVING_YARDS,RECEIVING_TOUCHDOWNS,"Fantasy Points"
"978","Cooper Kupp","LAR","WR","169.1","121.7","1580.3","10.0","218.28"
"1941","Justin Jefferson","MIN","WR","162.2","102.2","1516.6","7.8","199.78"
"2366","Ja'Marr Chase","CIN","WR","144.4","87.8","1380.9","8.8","194.86"
"1589","Deebo Samuel","SF","WR","103.8","67.5","1011.3","4.6","186.38"
"451","Davante Adams","LV","WR","158.8","106.3","1306.0","8.8","181.30"
"594","Stefon Diggs","BUF","WR","162.9","101.7","1258.4","8.9","177.69"
"447","Mike Evans","TB","WR","123.0","76.8","1078.1","10.5","169.30"
"1937","CeeDee Lamb","DAL","WR","144.2","91.6","1230.3","6.6","167.53"
"1940","Tee Higgins","CIN","WR","131.1","84.5","1182.6","7.5","161.56"
"1560","A.J. Brown","PHI","WR","123.0","77.1","1137.2","8.0","161.11"
** Sign in to download all of the projections
