"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","Jonathan Taylor","IND","14","RB1","","","1","","1","1.0"
"2","Christian McCaffrey","CAR","13","RB2","","","2","","3","2.5"
"3","Austin Ekeler","LAC","8","RB3","","","3","","4","3.5"
"4","Derrick Henry","TEN","6","RB4","","","8","","2","5.0"
"5","Cooper Kupp","LAR","7","WR1","","","5","","6","5.5"
"6","Dalvin Cook","MIN","7","RB5","","","7","","5","6.0"
"7","Justin Jefferson","MIN","7","WR2","","","4","","9","6.5"
"8","Najee Harris","PIT","9","RB6","","","6","","7","6.5"
"9","Joe Mixon","CIN","10","RB7","","","10","","8","9.0"
"10","Ja'Marr Chase","CIN","10","WR3","","","9","","14","11.5"
"11","Alvin Kamara","NO","14","RB8","","","14","","11","12.5"
"12","D'Andre Swift","DET","6","RB9","","","11","","15","13.0"
"13","Davante Adams","LV","6","WR4","","","15","","12","13.5"
"14","Nick Chubb","CLE","9","RB10","","","18","","10","14.0"
"15","Saquon Barkley","NYG","9","RB11","","","12","","17","14.5"
"16","Stefon Diggs","BUF","7","WR5","","","13","","16","14.5"
"17","Travis Kelce","KC","8","TE1","","","17","","13","15.0"
"18","Javonte Williams","DEN","9","RB12","","","16","","22","19.0"
"19","Josh Allen","BUF","7","QB1","","","19","","20","19.5"
"20","Aaron Jones","GB","14","RB13","","","23","","18","20.5"
"21","CeeDee Lamb","DAL","9","WR6","","","22","","19","20.5"
"22","Deebo Samuel","SF","9","WR7","","","20","","23","21.5"
"23","Tyreek Hill","MIA","11","WR8","","","24","","21","22.5"
"24","Leonard Fournette","TB","11","RB14","","","21","","24","22.5"
"25","Mark Andrews","BAL","10","TE2","","","25","","25","25.0"
"26","Mike Evans","TB","11","WR9","","","28","","26","27.0"
"27","James Conner","ARI","13","RB15","","","26","","28","27.0"
"28","Ezekiel Elliott","DAL","9","RB16","","","27","","27","27.0"
"29","Patrick Mahomes II","KC","8","QB2","","","29","","29","29.0"
"30","A.J. Brown","PHI","7","WR10","","","31","","30","30.5"
"31","Kyle Pitts","ATL","14","TE3","","","33","","32","32.5"
"32","Keenan Allen","LAC","8","WR11","","","35","","31","33.0"
"33","Justin Herbert","LAC","8","QB3","","","34","","33","33.5"
"34","Michael Pittman Jr.","IND","14","WR12","","","30","","38","34.0"
"35","Tee Higgins","CIN","10","WR13","","","36","","35","35.5"
"36","Travis Etienne Jr.","JAC","11","RB17","","","32","","40","36.0"
"37","Cam Akers","LAR","7","RB18","","","38","","36","37.0"
"38","David Montgomery","CHI","14","RB19","","","37","","37","37.0"
"39","George Kittle","SF","9","TE4","","","46","","34","40.0"
"40","DJ Moore","CAR","13","WR14","","","39","","43","41.0"
"41","Breece Hall","NYJ","10","RB20","","","47","","39","43.0"
"42","Courtland Sutton","DEN","9","WR15","","","40","","47","43.5"
"43","Lamar Jackson","BAL","10","QB4","","","45","","42","43.5"
"44","Mike Williams","LAC","8","WR16","","","44","","44","44.0"
"45","Terry McLaurin","WAS","14","WR17","","","49","","41","45.0"
"46","Elijah Mitchell","SF","9","RB21","","","42","","54","48.0"
"47","Josh Jacobs","LV","6","RB22","","","52","","45","48.5"
"48","Darren Waller","LV","6","TE5","","","51","","46","48.5"
"49","Diontae Johnson","PIT","9","WR18","","","48","","49","48.5"
"50","AJ Dillon","GB","14","RB23","","","43","","58","50.5"
"51","J.K. Dobbins","BAL","10","RB24","","","53","","51","52.0"
"52","Jaylen Waddle","MIA","11","WR19","","","58","","50","54.0"
"53","Kyler Murray","ARI","13","QB5","","","56","","52","54.0"
"54","DK Metcalf","SEA","11","WR20","","","62","","48","55.0"
"55","Jalen Hurts","PHI","7","QB6","","","50","","62","56.0"
"56","Antonio Gibson","WAS","14","RB25","","","64","","53","58.5"
"57","Joe Burrow","CIN","10","QB7","","","61","","56","58.5"
"58","Allen Robinson II","LAR","7","WR21","","","63","","57","60.0"
"59","Amon-Ra St. Brown","DET","6","WR22","","","55","","67","61.0"
"60","Brandin Cooks","HOU","6","WR23","","","59","","65","62.0"
"61","Dalton Schultz","DAL","9","TE6","","","65","","60","62.5"
"62","Gabriel Davis","BUF","7","WR24","","","54","","73","63.5"
"63","Marquise Brown","ARI","13","WR25","","","66","","61","63.5"
"64","Chris Godwin","TB","11","WR26","","","67","","64","65.5"
"65","Dameon Pierce","HOU","6","RB26","","","41","","91","66.0"
"66","Clyde Edwards-Helaire","KC","8","RB27","","","73","","59","66.0"
"67","Jerry Jeudy","DEN","9","WR27","","","81","","55","68.0"
"68","Darnell Mooney","CHI","14","WR28","","","60","","77","68.5"
"69","Michael Thomas","NO","14","WR29","","","71","","66","68.5"
"70","Chase Edmonds","MIA","11","RB28","","","57","","82","69.5"
"71","JuJu Smith-Schuster","KC","8","WR30","","","74","","68","71.0"
"72","Adam Thielen","MIN","7","WR31","","","72","","71","71.5"
"73","T.J. Hockenson","DET","6","TE7","","","77","","70","73.5"
"74","Amari Cooper","CLE","9","WR32","","","85","","63","74.0"
"75","Tom Brady","TB","11","QB8","","","76","","74","75.0"
"76","Russell Wilson","DEN","9","QB9","","","80","","72","76.0"
"77","Tony Pollard","DAL","9","RB29","","","70","","83","76.5"
"78","Devin Singletary","BUF","7","RB30","","","75","","81","78.0"
"79","Rashaad Penny","SEA","11","RB31","","","69","","88","78.5"
"80","Cordarrelle Patterson","ATL","14","RB32","","","78","","79","78.5"
"81","Dallas Goedert","PHI","7","TE8","","","82","","76","79.0"
"82","Damien Harris","NE","10","RB33","","","90","","69","79.5"
"83","Rashod Bateman","BAL","10","WR33","","","79","","80","79.5"
"84","Miles Sanders","PHI","7","RB34","","","86","","75","80.5"
"85","Kareem Hunt","CLE","9","RB35","","","84","","78","81.0"
"86","Rhamondre Stevenson","NE","10","RB36","","","68","","96","82.0"
"87","Dak Prescott","DAL","9","QB10","","","83","","86","84.5"
"88","DeAndre Hopkins","ARI","13","WR34","","","88","","84","86.0"
"89","Aaron Rodgers","GB","14","QB11","","","92","","89","90.5"
"90","Elijah Moore","NYJ","10","WR35","","","87","","95","91.0"
"91","Allen Lazard","GB","14","WR36","","","89","","94","91.5"
"92","DeVonta Smith","PHI","7","WR37","","","94","","90","92.0"
"93","Hunter Renfrow","LV","6","WR38","","","93","","93","93.0"
"94","Ken Walker III","SEA","11","RB37","","","102","","87","94.5"
"95","Dawson Knox","BUF","7","TE9","","","106","","85","95.5"
"96","Drake London","ATL","14","WR39","","","100","","92","96.0"
"97","Brandon Aiyuk","SF","9","WR40","","","95","","98","96.5"
"98","Melvin Gordon III","DEN","9","RB38","","","97","","99","98.0"
"99","Zach Ertz","ARI","13","TE10","","","101","","97","99.0"
"100","Christian Kirk","JAC","11","WR41","","","91","","108","99.5"
"101","James Cook","BUF","7","RB39","","","98","","102","100.0"
"102","Matthew Stafford","LAR","7","QB12","","","99","","101","100.0"
"103","Robert Woods","TEN","6","WR42","","","96","","110","103.0"
"104","Trey Lance","SF","9","QB13","","","103","","104","103.5"
"105","Chris Olave","NO","14","WR43","","","108","","103","105.5"
"106","Derek Carr","LV","6","QB14","","","105","","111","108.0"
"107","Tyler Lockett","SEA","11","WR44","","","114","","106","110.0"
"108","James Robinson","JAC","11","RB40","","","107","","113","110.0"
"109","Pat Freiermuth","PIT","9","TE11","","","111","","109","110.0"
"110","Treylon Burks","TEN","6","WR45","","","118","","105","111.5"
"111","Michael Carter","NYJ","10","RB41","","","112","","115","113.5"
"112","Darrell Henderson Jr.","LAR","7","RB42","","","109","","119","114.0"
"113","George Pickens","PIT","9","WR46","","","110","","120","115.0"
"114","Kirk Cousins","MIN","7","QB15","","","104","","127","115.5"
"115","Cole Kmet","CHI","14","TE12","","","113","","121","117.0"
"116","Chase Claypool","PIT","9","WR47","","","122","","114","118.0"
"117","Alexander Mattison","MIN","7","RB43","","","120","","116","118.0"
"118","Kadarius Toney","NYG","9","WR48","","","117","","126","121.5"
"119","Skyy Moore","KC","8","WR49","","","126","","118","122.0"
"120","Buffalo Bills","DST","7","DST1","","","138","","107","122.5"
"121","Justin Tucker","BAL","10","K1","","","148","","100","124.0"
"122","Nyheim Hines","IND","14","RB44","","","116","","134","125.0"
"123","Michael Gallup","DAL","9","WR50","","","124","","136","130.0"
"124","Tampa Bay Buccaneers","DST","11","DST2","","","144","","117","130.5"
"125","Kenneth Gainwell","PHI","7","RB45","","","115","","147","131.0"
"126","Tua Tagovailoa","MIA","11","QB16","","","128","","141","134.5"
"127","Hunter Henry","NE","10","TE13","","","130","","139","134.5"
"128","Rachaad White","TB","11","RB46","","","125","","146","135.5"
"129","Garrett Wilson","NYJ","10","WR51","","","150","","122","136.0"
"130","Mike Gesicki","MIA","11","TE14","","","149","","123","136.0"
"131","Tyler Allgeier","ATL","14","RB47","","","129","","143","136.0"
"132","Evan McPherson","CIN","10","K2","","","161","","112","136.5"
"133","Julio Jones","TB","11","WR52","","","142","","132","137.0"
"134","Tyler Boyd","CIN","10","WR53","","","133","","142","137.5"
"135","San Francisco 49ers","DST","9","DST3","","","152","","124","138.0"
"136","Brian Robinson Jr.","WAS","14","RB48","","","139","","137","138.0"
"137","Raheem Mostert","MIA","11","RB49","","","119","","162","140.5"
"138","Marquez Valdes-Scantling","KC","8","WR54","","","156","","125","140.5"
"139","Khalil Herbert","CHI","14","RB50","","","134","","150","142.0"
"140","Justin Fields","CHI","14","QB17","","","127","","159","143.0"
"141","Daniel Carlson","LV","6","K3","","","158","","129","143.5"
"142","Indianapolis Colts","DST","14","DST4","","","154","","138","146.0"
"143","Jarvis Landry","NO","14","WR55","","","143","","149","146.0"
"144","Trevor Lawrence","JAC","11","QB18","","","131","","165","148.0"
"145","Jamaal Williams","DET","6","RB51","","","132","","164","148.0"
"146","Jameis Winston","NO","14","QB19","","","140","","163","151.5"
"147","Tyler Bass","BUF","7","K4","","","174","","131","152.5"
"148","Matt Gay","LAR","7","K5","","","177","","130","153.5"
"149","Isaiah Spiller","LAC","8","RB52","","","172","","135","153.5"
"150","DJ Chark Jr.","DET","6","WR56","","","136","","171","153.5"
"151","Irv Smith Jr.","MIN","7","TE15","","","135","","176","155.5"
