"Player","Team","FG","FGA","XPT","FPTS"
"Justin Tucker","BAL","29.9","34.2","39.9","129.8"
"Harrison Butker","KC","27.7","31.6","46.3","129.5"
"Daniel Carlson","LV","30.6","35.8","37.3","129.2"
"Matt Gay","LAR","29.2","34.4","41.3","128.9"
"Ryan Succop","TB","26.6","32.6","47.6","127.3"
"Tyler Bass","BUF","27.0","33.3","45.6","126.7"
"Greg Joseph","MIN","29.8","34.9","36.9","126.4"
"Matt Prater","ARI","27.0","33.8","43.6","124.7"
"Nick Folk","NE","28.6","33.3","38.7","124.6"
"Evan McPherson","CIN","28.8","34.5","38.2","124.5"
"Mason Crosby","GB","26.3","32.6","45.5","124.3"
"Rodrigo Blankenship","IND","28.1","33.9","38.7","123.0"
"Robbie Gould","SF","27.2","31.9","40.8","122.4"
"Brandon McManus","DEN","27.1","32.7","40.2","121.6"
"Dustin Hopkins","LAC","26.2","30.9","42.0","120.5"
"Chris Boswell","PIT","29.1","34.4","32.4","119.8"
"Randy Bullock","TEN","25.6","30.7","40.5","117.1"
"Wil Lutz","NO","26.5","31.2","36.7","116.1"
"Younghoe Koo","ATL","27.5","31.5","33.4","116.0"
"Jake Elliott","PHI","27.8","32.5","32.5","116.0"
"Jason Sanders","MIA","25.6","31.6","37.6","114.5"
"Cairo Santos","CHI","26.5","31.9","33.6","113.0"
"Graham Gano","NYG","27.4","32.6","30.5","112.7"
"Austin Seibert","DET","26.1","30.1","34.2","112.4"
"Joey Slye","WAS","25.9","31.4","32.1","109.7"
"Eddy Pineiro","CAR","25.9","30.1","29.8","107.6"
"Cade York","CLE","24.2","29.2","33.0","105.6"
"Jason Myers","SEA","23.6","28.6","33.4","104.3"
"Ka'imi Fairbairn","HOU","24.4","29.2","30.0","103.1"
"Greg Zuerlein","NYJ","23.9","29.3","31.2","103.0"
"Riley Patterson","JAC","24.1","29.0","30.4","102.7"
"Brett Maher","DAL","19.5","20.2","34.5","93.0"
"Zane Gonzalez","CAR","12.6","0.0","15.3","53.3"
"James McCourt","JAC","11.8","0.0","9.9","45.1"
""
""
