"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","607.5","390.2","4,406.0","34.6","13.9","117.3","663.4","6.9","3.8","400.7"
"Patrick Mahomes II","KC","634.3","417.8","4,842.2","35.9","11.6","66.5","359.6","2.8","2.8","372.9"
"Justin Herbert","LAC","625.4","415.3","4,682.2","34.0","13.3","63.9","294.6","3.2","1.4","355.6"
"Lamar Jackson","BAL","520.5","336.7","3,732.7","24.5","13.2","158.7","956.2","4.9","3.5","352.3"
"Kyler Murray","ARI","570.7","384.1","4,256.9","27.3","12.4","107.3","552.1","5.5","2.3","350.9"
"Jalen Hurts","PHI","494.9","307.1","3,644.9","24.4","12.6","144.6","772.9","7.9","2.9","349.8"
"Tom Brady","TB","651.9","433.5","4,841.2","36.3","11.9","27.9","45.7","1.7","2.4","336.9"
"Dak Prescott","DAL","594.0","399.6","4,549.8","32.7","11.7","55.8","230.7","2.9","4.1","333.2"
"Joe Burrow","CIN","570.4","386.7","4,576.5","31.3","12.8","46.6","187.4","2.2","1.8","323.8"
"Aaron Rodgers","GB","558.5","376.8","4,325.1","32.8","7.1","38.7","136.2","1.8","1.6","318.4"
"Matthew Stafford","LAR","586.9","392.2","4,587.9","33.6","13.9","33.3","99.2","1.2","2.4","316.1"
"Trey Lance","SF","468.5","292.8","3,560.3","23.8","12.7","126.2","644.3","5.2","2.6","315.2"
"Russell Wilson","DEN","540.2","356.0","4,108.7","29.0","9.6","62.7","278.9","2.1","2.3","306.8"
"Kirk Cousins","MIN","573.9","378.9","4,347.1","31.2","11.4","29.2","107.1","1.0","2.9","298.7"
"Derek Carr","LV","597.0","399.5","4,499.7","29.0","12.7","38.5","130.0","1.2","3.6","296.2"
"Tua Tagovailoa","MIA","575.2","379.6","4,031.4","25.7","13.3","56.0","206.0","3.0","2.4","284.4"
"Ryan Tannehill","TEN","516.4","340.7","3,753.7","24.2","13.2","55.0","253.7","3.9","2.6","277.1"
"Trevor Lawrence","JAC","585.3","370.3","3,943.5","22.5","13.9","70.5","328.7","2.4","3.0","275.2"
