"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jonathan Taylor","IND","327.2","1,631.9","15.0","42.8","356.9","2.0","2.4","296.3"
"Derrick Henry","TEN","366.0","1,639.5","13.0","27.4","216.0","0.9","2.0","264.8"
"Christian McCaffrey","CAR","237.8","1,058.5","7.6","89.0","757.4","4.1","1.4","248.9"
"Austin Ekeler","LAC","221.1","959.7","9.3","73.1","652.1","5.3","1.5","245.6"
"Joe Mixon","CIN","287.1","1,193.4","9.7","46.7","339.6","2.5","1.6","223.6"
"Dalvin Cook","MIN","276.2","1,242.0","9.8","44.9","334.7","1.5","2.5","220.5"
"Alvin Kamara","NO","223.2","978.6","7.9","59.8","526.2","4.1","1.2","220.1"
"Najee Harris","PIT","298.8","1,185.1","7.7","60.7","397.3","2.1","1.6","213.9"
"Aaron Jones","GB","195.2","935.2","6.2","61.7","505.9","3.9","1.5","202.0"
"Leonard Fournette","TB","230.8","956.1","9.0","60.4","411.6","2.1","1.3","201.0"
"James Conner","ARI","227.4","919.9","10.2","43.4","351.9","2.3","1.6","199.2"
"Nick Chubb","CLE","249.6","1,229.3","8.6","24.8","200.0","1.0","1.6","197.3"
"Javonte Williams","DEN","232.5","1,025.6","7.8","45.9","345.6","2.7","1.7","196.5"
"Saquon Barkley","NYG","244.8","1,018.4","6.6","57.2","422.4","2.2","1.5","193.7"
"D'Andre Swift","DET","216.0","916.3","6.5","65.7","487.9","2.6","1.9","191.7"
"David Montgomery","CHI","234.8","948.0","7.6","44.4","345.0","1.8","1.4","183.0"
"Ezekiel Elliott","DAL","229.9","962.3","7.9","40.0","273.7","1.8","2.1","177.7"
"J.K. Dobbins","BAL","198.7","956.2","8.4","31.3","228.8","1.1","1.0","173.7"
"Damien Harris","NE","213.3","983.4","10.2","18.5","138.6","0.5","1.4","173.3"
"Elijah Mitchell","SF","238.8","1,021.9","7.3","26.2","199.6","1.3","1.2","171.7"
"Cam Akers","LAR","229.8","995.1","6.9","34.4","276.1","1.6","3.2","171.1"
"Josh Jacobs","LV","223.8","938.9","8.1","37.0","258.7","0.8","1.9","169.3"
"Travis Etienne Jr.","JAC","178.7","823.2","5.7","49.2","401.2","2.0","1.7","165.1"
"Miles Sanders","PHI","203.2","1,032.6","5.7","30.3","214.6","1.1","1.6","162.0"
"Antonio Gibson","WAS","202.0","884.2","6.8","33.1","240.3","1.5","2.0","158.5"
"AJ Dillon","GB","182.1","801.7","6.4","33.6","281.0","1.6","1.2","153.5"
"Dameon Pierce","HOU","208.3","879.0","6.0","31.5","249.3","1.3","1.6","152.9"
"Rashaad Penny","SEA","189.7","958.9","6.7","19.2","144.0","0.5","1.2","151.4"
"Clyde Edwards-Helaire","KC","184.4","797.9","5.6","36.2","268.9","2.1","1.3","150.2"
"Breece Hall","NYJ","212.5","833.4","5.6","34.9","278.0","1.4","1.5","150.1"
"Devin Singletary","BUF","182.2","842.4","6.0","33.5","225.2","1.3","1.3","147.8"
"Tony Pollard","DAL","158.4","752.5","3.8","47.3","386.1","2.0","1.3","146.1"
"Rhamondre Stevenson","NE","174.5","740.4","6.5","32.1","248.5","1.1","1.0","142.4"
"Cordarrelle Patterson","ATL","137.4","601.8","4.5","43.4","397.0","2.8","0.9","141.7"
"Chase Edmonds","MIA","165.7","723.9","4.0","48.0","343.6","1.7","0.9","139.2"
"Melvin Gordon III","DEN","153.5","697.1","6.2","24.0","181.6","1.3","1.9","129.4"
"Kareem Hunt","CLE","135.2","574.7","4.8","41.7","316.3","1.7","0.8","126.4"
"Michael Carter","NYJ","136.8","667.2","3.9","35.3","287.5","1.2","0.9","124.6"
"James Robinson","JAC","147.7","599.9","5.0","24.0","178.9","0.7","1.2","110.1"
"Raheem Mostert","MIA","128.4","641.9","4.3","16.9","133.8","0.9","1.4","106.2"
"Darrell Henderson Jr.","LAR","131.8","531.5","4.0","23.2","177.6","1.4","0.7","102.0"
"Ken Walker III","SEA","159.1","619.7","4.4","17.9","133.0","0.5","1.4","101.6"
"James Cook","BUF","108.2","467.4","3.6","29.6","238.0","1.6","0.9","99.8"
"Jamaal Williams","DET","137.6","572.3","3.5","23.6","153.2","0.8","0.8","97.0"
"Brian Robinson Jr.","WAS","134.7","574.7","4.3","16.1","123.1","0.6","1.1","97.0"
"Kenneth Gainwell","PHI","91.9","380.9","4.0","31.0","248.0","1.3","1.1","92.6"
"Nyheim Hines","IND","75.5","302.3","2.0","45.6","361.5","1.9","1.6","86.4"
"Alexander Mattison","MIN","114.7","460.6","2.8","25.2","188.0","0.9","0.9","85.7"
