"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Cooper Kupp","LAR","123.1","1,601.3","12.4","4.1","23.9","0.1","0.6","236.3"
"Ja'Marr Chase","CIN","91.4","1,409.7","10.4","8.5","50.0","0.2","0.6","208.3"
"Justin Jefferson","MIN","102.5","1,492.8","9.5","3.1","16.0","0.0","0.6","206.8"
"Deebo Samuel","SF","70.6","1,053.1","6.1","66.3","376.7","4.5","0.7","205.3"
"Davante Adams","LV","107.3","1,326.4","9.3","0.0","0.0","0.0","0.5","187.2"
"Stefon Diggs","BUF","102.0","1,256.5","8.9","0.2","2.0","0.0","0.5","178.2"
"Mike Evans","TB","82.1","1,131.6","10.1","0.2","1.4","0.0","0.5","173.2"
"CeeDee Lamb","DAL","91.2","1,236.5","7.6","6.0","44.9","0.1","0.5","173.1"
"Tyreek Hill","MIA","92.8","1,159.5","8.1","8.8","62.2","0.3","0.5","171.7"
"Tee Higgins","CIN","85.1","1,188.0","7.8","0.2","0.8","0.0","0.5","164.6"
"A.J. Brown","PHI","78.4","1,144.1","8.1","0.8","7.6","0.0","0.5","163.0"
"Mike Williams","LAC","74.6","1,098.0","7.9","0.0","0.2","0.0","0.4","156.7"
"Michael Pittman Jr.","IND","91.5","1,132.5","6.7","3.7","28.9","0.0","0.6","155.7"
"DJ Moore","CAR","86.5","1,137.6","5.6","5.6","37.9","0.1","0.6","150.8"
"Keenan Allen","LAC","99.8","1,089.5","6.9","0.4","1.8","0.0","0.5","149.6"
"Brandin Cooks","HOU","92.4","1,106.6","6.1","2.6","18.5","0.1","0.5","148.6"
"Gabriel Davis","BUF","61.5","960.5","8.8","0.0","0.0","0.0","0.1","148.5"
"DK Metcalf","SEA","78.3","1,047.9","6.8","0.4","2.2","0.0","0.6","145.0"
"Diontae Johnson","PIT","95.3","1,051.7","6.1","4.2","31.6","0.1","1.0","143.2"
"Terry McLaurin","WAS","78.5","1,069.2","5.8","0.4","4.6","0.0","0.4","141.4"
"Courtland Sutton","DEN","70.8","1,003.9","6.8","0.2","0.6","0.0","0.5","140.5"
"Jaylen Waddle","MIA","89.5","1,000.3","6.2","3.3","19.2","0.3","0.6","139.7"
"Amon-Ra St. Brown","DET","87.6","955.9","6.0","6.6","46.6","0.4","0.5","137.4"
"Jerry Jeudy","DEN","75.3","1,024.3","5.8","1.2","5.5","0.0","0.6","137.1"
"Michael Thomas","NO","85.3","989.8","6.5","0.2","-0.8","0.0","0.5","136.8"
"Marquise Brown","ARI","79.5","1,002.3","6.0","2.0","12.9","0.1","0.6","136.6"
"Darnell Mooney","CHI","78.4","1,035.8","4.8","5.0","26.1","0.2","0.5","135.7"
"Elijah Moore","NYJ","70.1","905.8","6.0","6.2","50.9","0.5","0.5","133.7"
"Chris Godwin","TB","80.2","931.0","6.3","2.2","12.1","0.3","0.9","131.9"
"Tyler Lockett","SEA","73.3","978.9","5.6","2.1","11.9","0.1","0.5","131.9"
"Adam Thielen","MIN","73.6","831.4","7.8","0.4","1.2","0.0","0.5","128.9"
"Amari Cooper","CLE","75.3","943.5","5.7","0.2","0.6","0.0","0.5","127.7"
"Allen Robinson II","LAR","75.7","918.2","6.0","0.0","0.0","0.0","0.5","127.0"
"JuJu Smith-Schuster","KC","78.2","848.8","6.5","2.3","11.5","0.5","0.5","126.9"
"Robert Woods","TEN","73.7","874.3","5.0","8.9","61.2","0.7","0.5","126.8"
"Hunter Renfrow","LV","83.6","888.7","6.3","1.2","5.0","0.0","0.7","126.4"
"Rashod Bateman","BAL","74.3","940.8","5.2","0.2","2.2","0.0","0.5","124.7"
"DeVonta Smith","PHI","63.5","872.0","5.7","0.0","0.0","0.0","0.5","120.3"
"Chase Claypool","PIT","64.2","858.8","4.6","8.6","52.3","0.2","0.5","118.9"
"Allen Lazard","GB","57.6","777.7","6.7","1.4","12.3","0.0","0.4","118.7"
"Brandon Aiyuk","SF","62.0","841.6","5.5","2.9","17.5","0.0","0.5","118.0"
"Christian Kirk","JAC","72.5","886.7","4.6","0.8","5.8","0.0","0.5","116.1"
"Drake London","ATL","66.0","870.4","4.8","0.8","4.2","0.0","0.8","114.5"
"Treylon Burks","TEN","57.3","813.3","4.9","4.0","25.8","0.3","0.8","113.3"
"DeAndre Hopkins","ARI","61.4","767.7","5.6","0.0","0.4","0.0","0.7","109.1"
"Kadarius Toney","NYG","67.0","778.4","4.2","8.8","59.6","0.1","0.5","108.8"
"Marquez Valdes-Scantling","KC","47.5","774.5","5.1","0.6","3.2","0.0","0.1","108.2"
"Mecole Hardman","KC","57.7","725.6","4.6","8.4","59.0","0.4","1.0","106.5"
"Jakobi Meyers","NE","73.4","827.6","3.8","0.4","2.8","0.0","0.5","104.7"
"DeVante Parker","NE","57.1","763.0","4.8","0.0","0.0","0.0","0.4","104.0"
"Russell Gage","TB","64.8","738.4","5.2","0.2","0.8","0.0","0.9","103.7"
"Kenny Golladay","NYG","55.6","785.4","4.3","0.0","0.0","0.0","0.4","103.5"
"Michael Gallup","DAL","51.1","720.1","4.8","2.0","14.2","0.0","0.4","101.7"
"Tyler Boyd","CIN","63.8","736.6","4.2","2.7","19.0","0.0","0.5","99.9"
"Chris Olave","NO","50.3","718.1","4.6","0.4","2.2","0.0","0.5","98.7"
"Robbie Anderson","CAR","56.9","666.8","4.7","3.7","24.6","0.1","0.4","97.0"
"Jarvis Landry","NO","57.9","695.5","4.2","3.0","16.5","0.3","0.6","96.8"
"Marvin Jones Jr.","JAC","56.4","682.8","4.8","0.0","0.0","0.0","0.4","96.1"
